time,q1,dq1,ddq1,tau1,q2,dq2,ddq2,tau2,q3,dq3,ddq3,tau3,q4,dq4,ddq4,tau4,q5,dq5,ddq5,tau5,q6,dq6,ddq6,tau6
3.85,0.20733024404997255,0.00646162942042161,4.004035595842133,8.642857058828792,-0.025502339031457818,0.034173066756454956,-1.5259160664033553,0.3218704735339614,0.00556060120546318,-0.004884006548702153,-2.8785171717171233e-07,-0.4425898347807297,0.015449759670405013,-0.0024342875907472695,0.0005838414405986963,-0.4717544049729635,0.08754929564793808,-0.03664211965372162,0.530808905102142,-1.7844369267986324,0.0024795910582131077,0.007388276461953802,-0.5093729671998378,-0.07567881572644458
3.86,0.20846621871550358,0.0465014690152282,3.0185385639975255,8.507409988104472,-0.025352108272618287,0.018911005358431966,-1.23141959588311,0.12195633043552677,0.005560601205463446,-0.004884008509778791,4.322272850324256e-07,-0.5109031493634529,0.015449759670405013,-0.002423175976017987,0.010502622543338802,-0.47075607533171643,0.08735929223506517,-0.03133763140465424,0.06758604974463688,-1.7944231961218615,0.002479591058213106,0.002297327856621866,-0.4570012449126212,-0.07577156365379104
3.87,0.20957705301785373,0.07901414269780385,2.046679627836587,8.393599810360064,-0.025223573618877403,0.005789829544258956,-0.9357727718819224,-0.05193848861031502,0.005560601205463754,-0.004884009822276716,1.1984902260528815e-06,-0.573115089760348,0.015449759670405013,-0.0023793018491112573,0.020369836554184142,-0.4705412275156923,0.08712988257701544,-0.02907539277211528,-0.3570206195315615,-1.7996388063363817,0.002479591058213104,-0.0023851580279628825,-0.3972401094422036,-0.07580565166224515
3.88,0.2106425329452933,0.09914037288257088,1.1185857789012006,8.316532073912688,-0.025131689200408685,-0.003675935411263683,-0.644693364224158,-0.17794979813482453,0.005560601205463978,-0.004884009462917526,1.7694033189994022e-06,-0.6277405190799612,0.015449759670405013,-0.0022546281276945696,0.02942282732825651,-0.4715709388630098,0.08682482369981136,-0.03184059163635402,-0.7012289114369881,-1.7969664540859225,0.0024795910582131038,-0.006302042933280628,-0.32517558065079644,-0.07572920328004148
3.89,0.21164886364995722,0.10583839248248184,0.28601750856281144,8.28196917982098,-0.02508094101497889,-0.008967828912033153,-0.37312289009929767,-0.24276010497252137,0.005560601205463961,-0.004884006638402379,1.835381898054999e-06,-0.6766263066242126,0.015449759670405013,-0.0020086177869264614,0.03606029664213424,-0.47383368336463877,0.08641575102763366,-0.03988419328778823,-0.9211480671592218,-1.7858845601937843,0.0024795910582131046,-0.00922632107585871,-0.2404128598344852,-0.07552934864635957
3.9,0.21258966537760468,0.10159470988986143,-0.3877991046436558,8.286637107330353,-0.025065875448190642,-0.01056722489080339,-0.14203315022258187,-0.24453259958963933,0.005560601205463569,-0.004884001309851579,1.1260889774933756e-06,-0.7226804621920632,0.015449759670405013,-0.001638700726298585,0.03809344161331081,-0.47685897274435557,0.08588928627137252,-0.051604279860179535,-0.9799242129115796,-1.7684619677389617,0.002479591058213107,-0.01108468261098328,-0.1475121081828567,-0.07524235637624305
3.91,0.21346432155833694,0.09084776065234777,-0.8485216408447194,8.321931184643939,-0.02507483717561832,-0.009633274026579286,0.02887537622067259,-0.19254159476678345,0.005560601205462777,-0.004883994649853467,-4.3390801990656736e-07,-0.7662563814798303,0.015449759670405013,-0.0012010376114414785,0.03346670192287473,-0.47990442164578545,0.08525282984655055,-0.06407755735928619,-0.8609189198948867,-1.7484465224047208,0.0024795910582131103,-0.011945083220342777,-0.05500087400207808,-0.07494909598075472
3.92,0.21427438687724762,0.07807043121497617,-1.0707488699927357,8.378757332712182,-0.02509476287200416,-0.007531448680622208,0.12891559994135618,-0.10334326561663405,0.005560601205461742,-0.004883989167764833,-2.575051343890674e-06,-0.8028615913333224,0.015449759670405013,-0.0008010577526124793,0.021183513063026068,-0.4822468548272918,0.08453535951057287,-0.07404913177191216,-0.5782184901755364,-1.7298815546978328,0.0024795910582131138,-0.011975203893273577,0.026595105791749864,-0.07475296978958312
3.93,0.2150207354706828,0.06644903543929112,-1.0683430514194325,8.450745970077037,-0.025115058776930453,-0.0054125707068923565,0.16093667456271127,0.004232822079013612,0.005560601205460835,-0.004883988248955394,-4.617367063976124e-06,-0.8242174994216549,0.015449759670405013,-0.0005582146765113493,0.0020590210723805615,-0.4834712923176081,0.08378202156339438,-0.07898373009789245,-0.17844704252453006,-1.7158485451861865,0.002479591058213115,-0.01138510496565815,0.0871268579460251,-0.0747446127711003
3.94,0.2157039151712939,0.05754613670931479,-0.8911609266301141,8.53446938688623,-0.025129520576084616,-0.003971028598875216,0.14072518027854458,0.11275712304473627,0.0055606012054605775,-0.00488399499490014,-5.568049227142846e-06,-0.8222883879787527,0.015449759670405013,-0.0005668578031526806,-0.021038811595511384,-0.48364602661485784,0.08304439024784503,-0.07777059076211557,0.26821751332527977,-1.7078131584411407,0.002479591058213112,-0.010378532133267582,0.1191110085985676,-0.07496738042679749
