Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.339730098086636,-0.0242287564737764,0.242384128687473,0,0,0,0.29683973124325,0.000561968778308919,-0.000557569677341994,-2.6654113978676E-05,0.000942752081522117,-2.1587357005544E-05,0.00137504087476319,0,0,0,0,0,0,package://ic1.1.2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://ic1.1.2/meshes/base_link.STL,,joint0-1;电机-1/ 01-1;电机-1/ 02-1;电机-1/DM_4340_3D-1/ 03-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1,0.127828537833142,-0.00226606089266443,3.21305194839194E-06,0,0,0,0.478980584273002,0.000663204848292966,0.00036239570148629,4.29394463686086E-07,0.00114032689080108,3.43883487499989E-07,0.00144664886438339,0,0,0,0,0,0,package://ic1.1.2/meshes/l1.STL,1,1,1,1,0,0,0,0,0,0,package://ic1.1.2/meshes/l1.STL,,joint1-1;joint2-2;电机-2/ 02-1;电机-2/DM_4340_3D-1/ 03-1,Origin_j1,基准轴5,j1,fixed,-0.29856,0.0020693,0.21104,1.5708,0,1.1547,base_link,0,1,0,,,,,,,,,,,,
l2,0.156036085442414,0.0268481985348551,-2.56023143476725E-05,0,0,0,0.510675561993692,0.000382861468585297,-2.19262819333773E-07,4.81933954692093E-07,0.00193928520028623,-9.68044541288472E-09,0.00187455937482899,0,0,0,0,0,0,package://ic1.1.2/meshes/l2.STL,1,1,1,1,0,0,0,0,0,0,package://ic1.1.2/meshes/l2.STL,,joint4-1;joint3-1;电机-3/ 02-1;电机-3/ 01-1;电机-3/DM_4340_3D-1/ 03-1,Origin_j2,Axis_j2,j2,continuous,0.176971378800704,-0.0552999999999993,0,0,0.928321523209396,-1.57079632679489,l1,0,1,0,,,,,,,,,,,,
l3,-0.109943403200528,0.00208057979858922,-1.08037533150251E-06,0,0,0,0.301661437311036,0.000143491154639993,-2.5129579364346E-07,-4.05027387114055E-08,0.000242262360164897,1.62108577569322E-08,0.000177268625082043,0,0,0,0,0,0,package://ic1.1.2/meshes/l3.STL,1,1,1,1,0,0,0,0,0,0,package://ic1.1.2/meshes/l3.STL,,joint1-2;joint5-1;电机-4/ 02-1;电机-4/ 01-1;电机-4/DM_4340_3D-1/ 03-1,Origin_j3,Axis_j3,j3,continuous,0.239291817338248,0.0267286211992953,0,-1.5210959256661,0,3.14159265358979,l2,1,0,0,,,,,,,,,,,,
l4,-0.0719024636211236,0.0371837584221808,0.0369977170552586,0,0,0,0.356837818566484,0.00074455347502792,0.000152142345766084,0.000123700221056116,0.000827958622307639,-0.000209810266491571,0.000818475725962542,0,0,0,0,0,0,package://ic1.1.2/meshes/l4.STL,1,1,1,1,0,0,0,0,0,0,package://ic1.1.2/meshes/l4.STL,,joint6-2;电机-5/DM_4340_3D-1/ 03-1;电机-5/ 02-1;电机-5/ 01-1,Origin_j4,Axis_j4,j4,revolute,-0.129008182661752,0,0,0,0.0539834371308359,0,l3,0,1,0,0,0,-1.6248,1.5168,,,,,,,,
l5,0.00405933432369598,-0.00269717440222905,-0.108374524552232,0,0,0,0.111763033612063,0.000270532442358034,-1.97454104589701E-06,1.12789222485375E-05,0.000273026809704054,1.17931137142189E-05,3.99937954343094E-05,0,0,0,0,0,0,package://ic1.1.2/meshes/l5.STL,1,1,1,1,0,0,0,0,0,0,package://ic1.1.2/meshes/l5.STL,,基座-1,Origin_j5,Axis_j5,j5,continuous,-0.0758328769955004,0.0713000000000006,0.0700000000000002,-1.57079632679489,1.22460020901222,-1.57079632679489,l4,0,0,1,,,,,,,,,,,,
