Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0550758565655602,0.0489889004380081,0.0485979448285171,0,0,0,1.00097560522866,0.00411881804534438,-7.09528259031289E-05,-7.28472771720609E-05,0.00245086960873415,-0.000690436242802831,0.00249963110810612,0,0,0,0,0,0,package://ic_arm_8_dof/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://ic_arm_8_dof/meshes/base_link.STL,,joint10-1;joint9-1;m1-fix-1;大电机-1/HOUGAI-1;大电机-1/ZHUTI-1;大电机-1/PCB_1-1,c_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0972453617554581,0.00156484878616377,-0.0260493559799699,0,0,0,0.219145592185789,0.000182713492165964,-5.78521584164592E-06,-1.034158788137E-06,0.00043314253008301,4.07586322729252E-10,0.00041883794970521,0,0,0,0,0,0,package://ic_arm_8_dof/meshes/link1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ic_arm_8_dof/meshes/link1.STL,,m1-rotate-1;m2-fix-1,c1,a1,joint1,revolute,0.0385,0.14284,0.14284,-1.5708,0,1.5708,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link2,0.0825080466061855,0.00166828045893919,0.0278934439832595,0,0,0,0.205176736390105,0.000187049207626281,-6.05350664533282E-06,1.64036988137815E-07,0.000376578195515716,5.8227758603018E-10,0.000355597993848653,0,0,0,0,0,0,package://ic_arm_8_dof/meshes/link2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ic_arm_8_dof/meshes/link2.STL,,m2-rotate-3;m3-fix-1,c2,a2,joint2,revolute,0.165,-0.0313,-0.02615,1.5708,1.5708,0,link1,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link3,0.0372116448569682,-3.34861305351097E-10,0.027774369995377,0,0,0,0.11661427548332,6.60586267471173E-05,2.39199289252103E-13,1.63832979594642E-07,0.000105696734713402,-7.36491488627532E-13,0.00013244668068283,0,0,0,0,0,0,package://ic_arm_8_dof/meshes/link3.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ic_arm_8_dof/meshes/link3.STL,,m3-rotate-1;m4-rotate-1,c3,a3,joint3,revolute,0.14,-0.0313,0.02805,1.5708,-1.5708,0,link2,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link4,0.0339097352536201,0.00686739312397486,0.140966316411207,0,0,0,0.410704670572243,0.00153160074451751,-4.606327544183E-05,-3.52727030724626E-05,0.00160265009637375,-1.59533721181871E-05,0.000386804834876422,0,0,0,0,0,0,package://ic_arm_8_dof/meshes/link4.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ic_arm_8_dof/meshes/link4.STL,,m4-fix-1;m5-rotate-1,c4,a4,joint4,revolute,0.08395,0,0.02805,0,-1.5708,0,link3,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link5,-0.0313092244531318,-0.0442803547879139,-0.0023506747970426,0,0,0,0.171986378004719,0.000460307251830134,-7.59357225870381E-05,-0.000171912439320734,0.000684902297925858,-6.90613206908106E-05,0.000555849026088793,0,0,0,0,0,0,package://ic_arm_8_dof/meshes/link5.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ic_arm_8_dof/meshes/link5.STL,,joint6-1,c5,a5,joint5,revolute,0.02575,0,0.28435,-1.5708,0,1.5708,link4,0,0,1,0,0,-3.14,3.14,,,,,,,,
link6,3.51871150033878E-05,2.31522021247876E-05,0.0249503615584616,0,0,0,0.118358483290454,4.12560270414838E-05,5.60350826459707E-08,-4.76729219706054E-09,4.12684066162184E-05,3.44261726860087E-08,4.85594060298828E-05,0,0,0,0,0,0,package://ic_arm_8_dof/meshes/link6.STL,0.627450980392157,0.627450980392157,0.643137254901961,1,0,0,0,0,0,0,package://ic_arm_8_dof/meshes/link6.STL,,电机-4/03-1;电机-4/01-1;电机-4/02-1,c6,a6,joint6,revolute,-0.090162,-0.045,-0.06565,1.5708,1.5708,0,link5,0,0,1,0,0,-3.14,3.14,,,,,,,,
