Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.048985,0.048594,0.055075,0,0,0,1.0009,0.0024508,-0.00069044,-7.0953E-05,0.0024996,-7.2847E-05,0.0041188,0,0,0,0,0,0,package://robot/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot/meshes/base_link.STL,,joint9-1;joint10-1;joint0-1;ZHUTI-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
joint1_link,-0.1018,-8.6117E-05,0.068088,0,0,0,0.26909,0.00057791,-1.1895E-07,0.00013558,0.00076167,3.7617E-08,0.00046295,0,0,0,0,0,0,package://robot/meshes/joint1_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://robot/meshes/joint1_link.STL,,joint8-1;joint2-1,joint1,A_joint1,joint1,revolute,0.14284,0.14284,0.0323,0,0,3.1416,base_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
joint2_link,-0.0011074,-0.037784,0.033993,0,0,0,0.12502,0.00011269,-1.1025E-06,-5.2045E-09,7.5107E-05,-1.7756E-07,0.00014835,0,0,0,0,0,0,package://robot/meshes/joint2_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://robot/meshes/joint2_link.STL,,joint4-1;joint5-1,joint2,A_joint2,joint2,revolute,-0.2025,-0.00014966,0.13238,0,-1.5708,0,joint1_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
joint3_link,0.017582,0.0033522,0.11575,0,0,0,0.4683,0.0014252,-2.04E-05,-2.6747E-05,0.0014163,-6.2138E-06,0.00034162,0,0,0,0,0,0,package://robot/meshes/joint3_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://robot/meshes/joint3_link.STL,,joint3-1;joint1-1;电机-1,joint3,A_joint3,joint3,revolute,-0.0023436,-0.079966,0.03425,1.6001,-1.5708,0,joint2_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
joint4_link,0.020006,-0.031386,-0.0095063,0,0,0,0.31246,0.00059768,9.222E-05,-0.00019694,0.0008237,8.0958E-05,0.00070818,0,0,0,0,0,0,package://robot/meshes/joint4_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://robot/meshes/joint4_link.STL,,joint6-1;电机-2,joint4,A_joint4,joint4,revolute,0.0297,0,0.2883,-1.5708,0.029299,-1.5708,joint3_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
joint5_link,0.0010802,0.0014003,-0.05791,0,0,0,0.18765,0.00021071,1.1509E-06,-6.7694E-06,0.00020882,7.5439E-06,7.3356E-05,0,0,0,0,0,0,package://robot/meshes/joint5_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robot/meshes/joint5_link.STL,,电机-3;基座-1,joint5,A_joint5,joint5,revolute,0.088527,-0.051566,0.0617,-1.5482,1.5708,-0.0066939,joint4_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
