time,m1_pos_actual,m1_vel_actual,m1_torque,m2_pos_actual,m2_vel_actual,m2_torque,m3_pos_actual,m3_vel_actual,m3_torque,m4_pos_actual,m4_vel_actual,m4_torque,m5_pos_actual,m5_vel_actual,m5_torque,m6_pos_actual,m6_vel_actual,m6_torque,m1_acc_actual,m2_acc_actual,m3_acc_actual,m4_acc_actual,m5_acc_actual,m6_acc_actual,source
0.002,0.0074387731746394,-0.006105006105006,-0.146520146520146,0.4074578469520116,-0.0048840048840048,-0.0879120879120876,0.0431425955596243,-0.0048840048840048,-0.4981684981684964,-0.0123979552910657,-0.0073260073260073,-0.0205128205128204,0.3255893797207587,0.0024420024420024,-0.1299145299145294,3.504425116350042,-0.0219780219780219,-0.017094017094017,0.0,0.0,0.0,-1.2210012210012249,1.2210012210012,-3.66300366300365,dynamics_20250930_183525_static.csv
0.036,0.0299458304722666,-0.006105006105006,4.151404151404137,0.4093752956435512,-0.0048840048840048,0.146520146520146,-0.0047936217288473,-0.0048840048840048,-0.6153846153846132,-0.0123979552910657,0.0024420024420024,-0.034188034188034,0.3328374151216895,-0.0024420024420024,-0.3076923076923066,3.504425116350042,-0.0073260073260073,-0.017094017094017,-3.05250305250305,0.0,0.0,-1.2210012210012,0.0,3.66300366300365,dynamics_20250930_183525_static.csv
0.082,0.015449759670405,-0.006105006105006,6.398046398046432,-0.0557977569237806,-0.0048840048840048,0.3809523809523796,0.044676554512856,0.0146520146520146,1.3772893772893724,-0.0123979552910657,-0.0073260073260073,-0.0205128205128204,0.3397039749752029,-0.0024420024420024,-0.8820512820512825,3.504425116350042,-0.0073260073260073,-0.017094017094017,3.052503052503,0.0,2.4420024420024244,2.442002442002425,0.0,0.0,dynamics_20250930_183525_static.csv
0.096,0.021934843976501,-0.0549450549450547,6.202686202686181,-0.3138863508049141,-0.0048840048840048,0.4981684981684964,0.8423352101930259,-0.0048840048840048,1.7875457875457812,0.4636835278858644,-0.0073260073260073,-0.2119658119658112,0.8360036621652558,-0.0073260073260073,-0.8820512820512825,-2.5431067368581672,-0.0219780219780219,-0.017094017094017,-3.05250305250305,0.0,0.0,-1.2210012210012249,0.0,-3.66300366300365,dynamics_20250930_194945_static.csv
0.11,0.0150682841229876,0.006105006105006,6.4957264957265295,-0.0557977569237806,-0.0048840048840048,0.3223443223443212,0.0561812466620885,-0.0048840048840048,0.0293040293040292,-0.0123979552910657,-0.0024420024420024,-0.0205128205128204,0.3393224994277855,-0.0073260073260073,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.017094017094017,-3.052503052503,0.0,0.0,0.0,1.2210012210012249,0.0,dynamics_20250930_183525_static.csv
0.138,0.0150682841229876,-0.006105006105006,6.398046398046432,-0.0557977569237806,-0.0048840048840048,0.3223443223443212,0.0557977569237806,-0.0048840048840048,0.3223443223443212,-0.0123979552910657,-0.0024420024420024,-0.0205128205128204,0.3397039749752029,-0.0024420024420024,-0.1846153846153839,3.504425116350042,-0.0219780219780219,-0.0122100122100121,0.0,0.0,0.0,0.0,1.2210012210012,3.66300366300365,dynamics_20250930_183525_static.csv
0.14,0.0150682841229876,-0.006105006105006,6.398046398046432,-0.0557977569237806,-0.0048840048840048,0.3809523809523796,0.0557977569237806,-0.0048840048840048,0.439560439560438,-0.0123979552910657,-0.0024420024420024,-0.0205128205128204,0.3397039749752029,0.0024420024420024,-0.8820512820512825,3.504425116350042,-0.0073260073260073,-0.017094017094017,0.0,0.0,0.0,0.0,1.2210012210012,3.66300366300365,dynamics_20250930_183525_static.csv
0.15,0.0150682841229876,-0.006105006105006,6.4957264957265295,-0.0557977569237806,-0.0048840048840048,0.3809523809523796,0.0557977569237806,-0.0048840048840048,0.2051282051282044,-0.0123979552910657,0.0024420024420024,-0.0205128205128204,0.3397039749752029,-0.0024420024420024,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.0122100122100121,0.0,0.0,0.0,-1.2210012210012,0.0,0.0,dynamics_20250930_183525_static.csv
0.158,0.0150682841229876,-0.006105006105006,6.398046398046432,-0.0557977569237806,-0.0048840048840048,0.3223443223443212,0.0557977569237806,-0.0048840048840048,0.2051282051282044,-0.0123979552910657,-0.0024420024420024,-0.0205128205128204,0.3397039749752029,-0.0024420024420024,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.017094017094017,3.052503052503,0.0,0.0,1.2210012210012,-1.2210012210012249,0.0,dynamics_20250930_183525_static.csv
0.16,0.0150682841229876,0.006105006105006,6.398046398046432,-0.0557977569237806,-0.0048840048840048,0.4981684981684964,0.0557977569237806,-0.0048840048840048,0.3223443223443212,-0.0123979552910657,0.0024420024420024,-0.0205128205128204,0.3397039749752029,-0.0073260073260073,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.017094017094017,3.052503052503,0.0,0.0,1.2210012210012,-1.2210012210012249,0.0,dynamics_20250930_183525_static.csv
0.176,0.0150682841229876,-0.0183150183150182,6.398046398046432,-0.0557977569237806,-0.0048840048840048,0.439560439560438,0.0557977569237806,-0.0048840048840048,0.0293040293040292,-0.0123979552910657,-0.0024420024420024,-0.0205128205128204,0.3393224994277855,-0.0073260073260073,-0.8820512820512825,3.504425116350042,-0.0073260073260073,-0.017094017094017,-3.05250305250305,0.0,0.0,0.0,-2.442002442002425,0.0,dynamics_20250930_183525_static.csv
0.178,0.0150682841229876,-0.0183150183150182,6.398046398046432,-0.0557977569237806,-0.0048840048840048,0.439560439560438,0.0557977569237806,-0.0048840048840048,0.0293040293040292,-0.0123979552910657,-0.0024420024420024,-0.0205128205128204,0.3393224994277855,-0.0073260073260073,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.017094017094017,0.0,0.0,0.0,1.2210012210012,2.442002442002425,0.0,dynamics_20250930_183525_static.csv
0.18,0.0150682841229876,-0.0183150183150182,6.4957264957265295,-0.0557977569237806,-0.0048840048840048,0.3809523809523796,0.0557977569237806,-0.0048840048840048,0.2637362637362628,-0.0123979552910657,0.0024420024420024,-0.0205128205128204,0.3397039749752029,0.0024420024420024,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.017094017094017,0.0,0.0,0.0,1.2210012210012,2.442002442002425,0.0,dynamics_20250930_183525_static.csv
0.198,0.0150682841229876,0.006105006105006,6.4957264957265295,-0.0557977569237806,-0.0048840048840048,0.3809523809523796,0.0557977569237806,-0.0048840048840048,0.146520146520146,-0.0123979552910657,-0.0024420024420024,-0.0205128205128204,0.3397039749752029,-0.0024420024420024,-0.1846153846153839,3.504425116350042,-0.0219780219780219,-0.017094017094017,-3.052503052503,0.0,0.0,0.0,-1.2210012210012249,3.66300366300365,dynamics_20250930_183525_static.csv
0.2,0.0150682841229876,-0.006105006105006,6.398046398046432,-0.0557977569237806,-0.0048840048840048,0.3223443223443212,0.0557977569237806,-0.0048840048840048,0.3223443223443212,-0.0123979552910657,-0.0024420024420024,-0.0205128205128204,0.3397039749752029,-0.0073260073260073,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.017094017094017,-3.052503052503,0.0,0.0,0.0,-1.2210012210012249,3.66300366300365,dynamics_20250930_183525_static.csv
0.204,0.0150682841229876,-0.006105006105006,6.4957264957265295,-0.0557977569237806,-0.0048840048840048,0.3223443223443212,0.0557977569237806,-0.0048840048840048,0.2637362637362628,-0.0123979552910657,-0.0024420024420024,-0.0068376068376068,0.3397039749752029,-0.0024420024420024,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.017094017094017,0.0,0.0,0.0,0.0,1.2210012210012249,0.0,dynamics_20250930_183525_static.csv
0.206,0.0150682841229876,-0.006105006105006,6.4957264957265295,-0.0557977569237806,-0.0048840048840048,0.3223443223443212,0.0557977569237806,-0.0048840048840048,0.2637362637362628,-0.0123979552910657,-0.0024420024420024,-0.0068376068376068,0.3397039749752029,-0.0024420024420024,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.017094017094017,0.0,0.0,0.0,1.2210012210012,-1.2210012210012249,0.0,dynamics_20250930_183525_static.csv
0.208,0.0150682841229876,-0.006105006105006,6.398046398046432,-0.0557977569237806,-0.0048840048840048,0.439560439560438,0.0557977569237806,-0.0048840048840048,0.2051282051282044,-0.0123979552910657,0.0024420024420024,-0.0205128205128204,0.3397039749752029,-0.0073260073260073,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.0122100122100121,0.0,0.0,0.0,1.2210012210012,-1.2210012210012249,0.0,dynamics_20250930_183525_static.csv
0.21,0.0150682841229876,-0.006105006105006,6.398046398046432,-0.0557977569237806,-0.0048840048840048,0.439560439560438,0.0557977569237806,-0.0048840048840048,0.2051282051282044,-0.0123979552910657,0.0024420024420024,-0.0205128205128204,0.3397039749752029,-0.0073260073260073,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.0122100122100121,0.0,0.0,0.0,-1.2210012210012,2.442002442002425,3.66300366300365,dynamics_20250930_183525_static.csv
0.222,0.0150682841229876,0.006105006105006,6.398046398046432,-0.0557977569237806,-0.0048840048840048,0.2637362637362628,0.0557977569237806,-0.0048840048840048,0.146520146520146,-0.0123979552910657,0.0024420024420024,-0.0068376068376068,0.3397039749752029,-0.0073260073260073,-0.8820512820512825,3.504425116350042,-0.0073260073260073,-0.0122100122100121,0.0,0.0,0.0,-1.2210012210012,1.2210012210012249,0.0,dynamics_20250930_183525_static.csv
0.23,0.0150682841229876,-0.0183150183150182,6.4957264957265295,-0.0557977569237806,-0.0048840048840048,0.3809523809523796,0.0557977569237806,-0.0048840048840048,0.2637362637362628,-0.0123979552910657,-0.0024420024420024,-0.0205128205128204,0.3397039749752029,-0.0024420024420024,-0.8820512820512825,3.504425116350042,-0.0073260073260073,-0.017094017094017,3.05250305250305,0.0,0.0,0.0,0.0,0.0,dynamics_20250930_183525_static.csv
0.232,0.0150682841229876,-0.006105006105006,6.4957264957265295,-0.0557977569237806,-0.0048840048840048,0.3223443223443212,0.0557977569237806,-0.0048840048840048,0.3223443223443212,-0.0123979552910657,-0.0024420024420024,-0.0205128205128204,0.3397039749752029,-0.0024420024420024,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.0122100122100121,3.05250305250305,0.0,0.0,0.0,0.0,0.0,dynamics_20250930_183525_static.csv
0.234,0.0150682841229876,-0.006105006105006,6.4957264957265295,-0.0557977569237806,-0.0048840048840048,0.3223443223443212,0.0557977569237806,-0.0048840048840048,0.3223443223443212,-0.0123979552910657,-0.0024420024420024,-0.0205128205128204,0.3397039749752029,-0.0024420024420024,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.0122100122100121,3.052503052503,0.0,0.0,0.0,0.0,0.0,dynamics_20250930_183525_static.csv
0.236,0.0150682841229876,0.006105006105006,6.4957264957265295,-0.0557977569237806,-0.0048840048840048,0.3809523809523796,0.0557977569237806,-0.0048840048840048,0.146520146520146,-0.0123979552910657,-0.0024420024420024,-0.0205128205128204,0.3397039749752029,-0.0024420024420024,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.0122100122100121,3.052503052503,0.0,0.0,0.0,0.0,0.0,dynamics_20250930_183525_static.csv
0.238,0.0150682841229876,0.006105006105006,6.4957264957265295,-0.0557977569237806,-0.0048840048840048,0.3809523809523796,0.0557977569237806,-0.0048840048840048,0.146520146520146,-0.0123979552910657,-0.0024420024420024,-0.0205128205128204,0.3397039749752029,-0.0024420024420024,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.0122100122100121,-3.052503052503,0.0,0.0,0.0,0.0,0.0,dynamics_20250930_183525_static.csv
0.242,0.0150682841229876,-0.006105006105006,6.398046398046432,-0.0557977569237806,-0.0048840048840048,0.3223443223443212,0.0557977569237806,-0.0048840048840048,0.2637362637362628,-0.0123979552910657,-0.0024420024420024,-0.0205128205128204,0.3397039749752029,-0.0024420024420024,-0.8820512820512825,3.504425116350042,-0.0073260073260073,-0.017094017094017,0.0,0.0,0.0,0.0,-1.2210012210012249,0.0,dynamics_20250930_183525_static.csv
0.244,0.0150682841229876,-0.006105006105006,6.4957264957265295,-0.0557977569237806,-0.0048840048840048,0.2637362637362628,0.0557977569237806,-0.0048840048840048,0.0879120879120876,-0.0123979552910657,-0.0024420024420024,-0.0205128205128204,0.3397039749752029,-0.0073260073260073,-0.8820512820512825,3.504425116350042,-0.0073260073260073,-0.017094017094017,0.0,0.0,0.0,0.0,-1.2210012210012249,0.0,dynamics_20250930_183525_static.csv
0.248,0.0150682841229876,-0.006105006105006,6.398046398046432,-0.0557977569237806,-0.0048840048840048,0.3809523809523796,0.0557977569237806,-0.0048840048840048,0.146520146520146,-0.0123979552910657,-0.0024420024420024,-0.0205128205128204,0.3393224994277855,-0.0024420024420024,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.017094017094017,0.0,0.0,0.0,0.0,1.2210012210012249,0.0,dynamics_20250930_183525_static.csv
0.25,0.0150682841229876,-0.006105006105006,6.398046398046432,-0.0557977569237806,-0.0048840048840048,0.3809523809523796,0.0557977569237806,-0.0048840048840048,0.146520146520146,-0.0123979552910657,-0.0024420024420024,-0.0205128205128204,0.3393224994277855,-0.0024420024420024,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.017094017094017,0.0,0.0,0.0,1.2210012210012,0.0,0.0,dynamics_20250930_183525_static.csv
