Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0489848323102013,0.0485936803116444,0.0550749689718998,0,0,0,1.00093152576365,0.00245084831099956,-0.000690438339477277,-7.09528357023479E-05,0.00249960910336744,-7.28472751523941E-05,0.00411877569545803,0,0,0,0,0,0,package://robot_8dof/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_8dof/meshes/base_link.STL,,joint9-1;joint10-1;joint0-1,C_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0760900145373815,-0.00153648182610146,0.0363551071659599,0,0,0,0.16950443711985,0.000104591258319655,-2.39696315183534E-06,1.41365825894331E-06,0.000279199876066429,7.74000421550104E-09,0.000292677848611668,0,0,0,0,0,0,package://robot_8dof/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_8dof/meshes/link1.STL,,大电机-1/HOUGAI-1;大电机-1/ZHUTI-1;大电机-1/PCB_1-1;joint12-1;joint2-1-1,C_j1,A_j1,joint1,revolute,0.14284,0.14284,0.1005,3.1416,0,3.1416,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link2,0.00176862651187665,0.0768489023840002,-0.0257884540640424,0,0,0,0.194122042016285,0.000337809617037314,-5.57394783442497E-06,-2.66771436279574E-10,0.000172093062695412,-1.14340046029727E-07,0.000321609427001858,0,0,0,0,0,0,package://robot_8dof/meshes/link2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://robot_8dof/meshes/link2.STL,,joint11-1;joint2-2-1,C_j2,A_j2,joint2,revolute,-0.155,0.025825,0.036876,-1.5708,0,0,link1,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link3,1.80836762231351E-10,-0.0378005644388073,0.0385070953392195,0,0,0,0.125021299056394,0.000112724341188929,8.90189484174413E-14,-7.35870762750249E-13,7.50742770773348E-05,1.77633531417731E-07,0.000148349716353963,0,0,0,0,0,0,package://robot_8dof/meshes/link3.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://robot_8dof/meshes/link3.STL,,joint4-1;joint5-1,C_j3,A_j3,joint3,revolute,0.0350000000000005,0.130000000000001,-0.02605,1.5707963267949,0,-1.5707963267949,link2,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link4,0.0339097291742993,-0.00686739687332324,-0.14096631772534,0,0,0,0.410704691843183,0.00153160075498686,4.60635179275722E-05,3.52726524365432E-05,0.00160265014387353,-1.59531315212293E-05,0.000386804752394119,0,0,0,0,0,0,package://robot_8dof/meshes/link4.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://robot_8dof/meshes/link4.STL,,joint3-1;joint1-1,C_j4,A_j4,joint4,revolute,0,-0.0839499999414023,0.0382499999999999,1.5707963260331,1.57079588550914,3.14159264903921,link3,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link5,0.0336695268833719,-0.0495271313233129,0.0632109639734854,0,0,0,0.194105185979946,0.000551255491771981,8.54806708974804E-05,-0.000199210441513274,0.000787597113217044,7.51647065937588E-05,0.000659616903212293,0,0,0,0,0,0,package://robot_8dof/meshes/link5.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://robot_8dof/meshes/link5.STL,,joint6-1,C_j5,A_j5,joint5,revolute,-0.033600028915738,0.000162033918546522,-0.284350497282599,1.57079632679489,0,1.57079588525075,link4,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link6,0.0026971685101877,0.00405934053387819,-0.110257400975593,0,0,0,0.0692930810576564,0.000169276601350347,1.22420646666461E-06,-7.31171180724144E-06,0.000167730151177,6.99291370100907E-06,2.47961670140646E-05,0,0,0,0,0,0,package://robot_8dof/meshes/link6.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://robot_8dof/meshes/link6.STL,,基座-1,C_j6,A_j6,joint6,revolute,0.09,-0.0489499999999999,0.125,1.5707963267949,-1.5707963267949,0,link5,0,0,-1,0,0,-3.14,3.14,,,,,,,,
